Bottom Color,Bottom RGB,Top Color,Top RGB,Accessories,Popularity Score,Occasion
White,"(255, 255, 255)",Green,"(0, 128, 0)","Bangles, Bracelet, Necklace",87,Party
Navy,"(0, 0, 128)",Blue,"(0, 0, 255)","Earrings, Slippers, Bangles",68,Office
Navy,"(0, 0, 128)",Blue,"(0, 0, 255)","Bracelet, Slippers, Bangles",93,Casual
Black,"(0, 0, 0)",Red,"(255, 0, 0)",Bangles,68,Party
Brown,"(139, 69, 19)",Blue,"(0, 0, 255)","Bracelet, Earrings",74,Casual
Grey,"(128, 128, 128)",Pink,"(255, 192, 203)",Bangles,92,Casual
Blue,"(0, 0, 255)",Pink,"(255, 192, 203)","Bangles, Necklace, Slippers",61,Party
Beige,"(245, 245, 220)",Blue,"(0, 0, 255)",Necklace,73,Casual
Blue,"(0, 0, 255)",Orange,"(255, 165, 0)","Earrings, Bracelet",52,Office
Navy,"(0, 0, 128)",Beige,"(245, 245, 220)","Slippers, Bangles, Earrings",90,Party
Grey,"(128, 128, 128)",Orange,"(255, 165, 0)","Earrings, Bracelet, Bangles",54,Office
Navy,"(0, 0, 128)",Purple,"(128, 0, 128)","Slippers, Bangles",65,Party
Beige,"(245, 245, 220)",Pink,"(255, 192, 203)","Earrings, Necklace",88,Casual
Pink,"(255, 192, 203)",Grey,"(128, 128, 128)",Bangles,85,Office
Blue,"(0, 0, 255)",White,"(255, 255, 255)","Bracelet, Earrings",78,Casual
Pink,"(255, 192, 203)",Beige,"(245, 245, 220)","Earrings, Slippers, Bracelet",90,Party
White,"(255, 255, 255)",White,"(255, 255, 255)","Bracelet, Necklace",56,Casual
White,"(255, 255, 255)",Purple,"(128, 0, 128)",Bracelet,75,Party
Beige,"(245, 245, 220)",White,"(255, 255, 255)","Bracelet, Bangles",99,Casual
Grey,"(128, 128, 128)",Grey,"(128, 128, 128)",Necklace,90,Office
Beige,"(245, 245, 220)",Grey,"(128, 128, 128)",Earrings,81,Office
Brown,"(139, 69, 19)",Orange,"(255, 165, 0)","Bangles, Bracelet, Earrings",95,Party
Pink,"(255, 192, 203)",White,"(255, 255, 255)","Earrings, Necklace",54,Casual
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)",Necklace,81,Party
Blue,"(0, 0, 255)",Red,"(255, 0, 0)","Earrings, Bangles, Necklace",80,Office
Black,"(0, 0, 0)",White,"(255, 255, 255)","Necklace, Bracelet",74,Casual
Beige,"(245, 245, 220)",Red,"(255, 0, 0)",Necklace,78,Office
Blue,"(0, 0, 255)",Orange,"(255, 165, 0)",Bracelet,99,Party
White,"(255, 255, 255)",Pink,"(255, 192, 203)",Bracelet,86,Office
Grey,"(128, 128, 128)",Yellow,"(255, 255, 0)",Earrings,72,Party
Blue,"(0, 0, 255)",Grey,"(128, 128, 128)","Necklace, Bracelet, Slippers",100,Casual
Black,"(0, 0, 0)",Red,"(255, 0, 0)","Earrings, Bracelet",88,Party
Navy,"(0, 0, 128)",Yellow,"(255, 255, 0)","Necklace, Bangles",60,Party
Blue,"(0, 0, 255)",Beige,"(245, 245, 220)","Bangles, Slippers",52,Casual
Beige,"(245, 245, 220)",White,"(255, 255, 255)","Bangles, Slippers",57,Office
Black,"(0, 0, 0)",Purple,"(128, 0, 128)",Necklace,76,Casual
Grey,"(128, 128, 128)",Purple,"(128, 0, 128)",Slippers,84,Office
Navy,"(0, 0, 128)",Beige,"(245, 245, 220)",Earrings,88,Casual
Navy,"(0, 0, 128)",Yellow,"(255, 255, 0)","Bracelet, Slippers, Bangles",100,Office
Black,"(0, 0, 0)",Beige,"(245, 245, 220)","Bangles, Earrings",56,Office
Black,"(0, 0, 0)",Pink,"(255, 192, 203)","Necklace, Bangles",100,Office
Blue,"(0, 0, 255)",Pink,"(255, 192, 203)","Bracelet, Bangles, Slippers",96,Party
White,"(255, 255, 255)",Red,"(255, 0, 0)",Bracelet,57,Casual
Grey,"(128, 128, 128)",Beige,"(245, 245, 220)","Earrings, Bracelet",83,Office
Navy,"(0, 0, 128)",Orange,"(255, 165, 0)","Bracelet, Bangles, Slippers",74,Casual
Pink,"(255, 192, 203)",Beige,"(245, 245, 220)","Bangles, Necklace",79,Casual
Brown,"(139, 69, 19)",Red,"(255, 0, 0)","Slippers, Bangles",52,Casual
Blue,"(0, 0, 255)",Red,"(255, 0, 0)","Bangles, Necklace, Slippers",91,Party
Brown,"(139, 69, 19)",Red,"(255, 0, 0)","Necklace, Bracelet",82,Party
Grey,"(128, 128, 128)",Purple,"(128, 0, 128)","Bracelet, Necklace",70,Party
Pink,"(255, 192, 203)",Red,"(255, 0, 0)","Bangles, Necklace",85,Office
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)","Bangles, Earrings, Necklace",72,Office
Brown,"(139, 69, 19)",Red,"(255, 0, 0)",Bracelet,73,Casual
White,"(255, 255, 255)",Yellow,"(255, 255, 0)","Slippers, Bangles",97,Office
Grey,"(128, 128, 128)",Grey,"(128, 128, 128)","Bracelet, Earrings",79,Casual
Navy,"(0, 0, 128)",Beige,"(245, 245, 220)",Earrings,74,Office
Black,"(0, 0, 0)",Blue,"(0, 0, 255)","Bangles, Necklace",99,Casual
Black,"(0, 0, 0)",Orange,"(255, 165, 0)",Bangles,52,Casual
Brown,"(139, 69, 19)",Orange,"(255, 165, 0)","Necklace, Earrings, Bangles",56,Office
Grey,"(128, 128, 128)",Pink,"(255, 192, 203)",Bracelet,58,Casual
White,"(255, 255, 255)",Yellow,"(255, 255, 0)","Earrings, Bracelet, Slippers",59,Party
Beige,"(245, 245, 220)",Orange,"(255, 165, 0)",Earrings,78,Casual
Blue,"(0, 0, 255)",Purple,"(128, 0, 128)","Bangles, Earrings, Slippers",73,Office
Blue,"(0, 0, 255)",Orange,"(255, 165, 0)","Slippers, Bracelet",84,Casual
White,"(255, 255, 255)",Orange,"(255, 165, 0)",Necklace,78,Casual
Brown,"(139, 69, 19)",Grey,"(128, 128, 128)",Necklace,65,Casual
White,"(255, 255, 255)",Beige,"(245, 245, 220)","Slippers, Bracelet",82,Party
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)","Necklace, Bracelet, Earrings",75,Party
Brown,"(139, 69, 19)",Green,"(0, 128, 0)","Bracelet, Bangles, Earrings",92,Casual
Blue,"(0, 0, 255)",White,"(255, 255, 255)","Necklace, Earrings, Slippers",53,Office
Brown,"(139, 69, 19)",Yellow,"(255, 255, 0)","Slippers, Earrings",65,Office
Navy,"(0, 0, 128)",White,"(255, 255, 255)",Necklace,87,Casual
Navy,"(0, 0, 128)",Green,"(0, 128, 0)","Slippers, Bangles, Earrings",70,Party
Brown,"(139, 69, 19)",Grey,"(128, 128, 128)",Necklace,85,Office
Black,"(0, 0, 0)",Blue,"(0, 0, 255)","Necklace, Slippers",91,Casual
Blue,"(0, 0, 255)",Green,"(0, 128, 0)",Necklace,68,Casual
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)","Bracelet, Slippers, Bangles",86,Casual
Grey,"(128, 128, 128)",Pink,"(255, 192, 203)","Bangles, Slippers, Necklace",70,Casual
Navy,"(0, 0, 128)",Beige,"(245, 245, 220)","Necklace, Earrings, Slippers",89,Office
White,"(255, 255, 255)",Grey,"(128, 128, 128)","Earrings, Slippers",76,Office
White,"(255, 255, 255)",Orange,"(255, 165, 0)","Bangles, Slippers, Necklace",62,Office
Brown,"(139, 69, 19)",Yellow,"(255, 255, 0)","Earrings, Bangles, Bracelet",93,Office
Black,"(0, 0, 0)",Grey,"(128, 128, 128)","Earrings, Bracelet",84,Party
Blue,"(0, 0, 255)",Green,"(0, 128, 0)","Earrings, Bangles, Bracelet",70,Casual
White,"(255, 255, 255)",Green,"(0, 128, 0)","Slippers, Bangles, Necklace",50,Party
Beige,"(245, 245, 220)",Yellow,"(255, 255, 0)",Earrings,80,Party
White,"(255, 255, 255)",White,"(255, 255, 255)","Necklace, Bracelet",57,Party
Pink,"(255, 192, 203)",White,"(255, 255, 255)","Slippers, Earrings, Bracelet",64,Party
Black,"(0, 0, 0)",Orange,"(255, 165, 0)","Earrings, Bracelet, Necklace",79,Office
Blue,"(0, 0, 255)",Pink,"(255, 192, 203)","Slippers, Bangles, Necklace",71,Office
Blue,"(0, 0, 255)",Grey,"(128, 128, 128)","Earrings, Bangles",53,Office
Navy,"(0, 0, 128)",Pink,"(255, 192, 203)","Necklace, Slippers, Bangles",78,Casual
Brown,"(139, 69, 19)",White,"(255, 255, 255)","Bracelet, Necklace, Slippers",95,Party
Black,"(0, 0, 0)",Red,"(255, 0, 0)","Necklace, Bracelet, Earrings",63,Office
Beige,"(245, 245, 220)",Blue,"(0, 0, 255)","Bangles, Bracelet, Earrings",72,Party
Grey,"(128, 128, 128)",Grey,"(128, 128, 128)",Bangles,95,Casual
Beige,"(245, 245, 220)",Purple,"(128, 0, 128)","Slippers, Earrings",99,Casual
Pink,"(255, 192, 203)",Blue,"(0, 0, 255)","Earrings, Slippers, Necklace",54,Party
Blue,"(0, 0, 255)",Grey,"(128, 128, 128)","Bracelet, Slippers, Bangles",64,Office
Blue,"(0, 0, 255)",White,"(255, 255, 255)","Necklace, Bracelet",87,Party
Navy,"(0, 0, 128)",Yellow,"(255, 255, 0)","Bracelet, Slippers, Bangles",80,Party
Black,"(0, 0, 0)",Green,"(0, 128, 0)","Necklace, Bracelet",83,Casual
Black,"(0, 0, 0)",Blue,"(0, 0, 255)","Bracelet, Necklace, Slippers",97,Casual
White,"(255, 255, 255)",Blue,"(0, 0, 255)",Earrings,99,Office
White,"(255, 255, 255)",Yellow,"(255, 255, 0)",Earrings,68,Office
Navy,"(0, 0, 128)",Blue,"(0, 0, 255)",Necklace,97,Party
Grey,"(128, 128, 128)",Red,"(255, 0, 0)","Bracelet, Slippers",97,Casual
Blue,"(0, 0, 255)",Purple,"(128, 0, 128)",Slippers,83,Office
Navy,"(0, 0, 128)",Pink,"(255, 192, 203)","Bangles, Earrings",69,Party
Beige,"(245, 245, 220)",Green,"(0, 128, 0)","Bracelet, Slippers",52,Office
Black,"(0, 0, 0)",Beige,"(245, 245, 220)","Bracelet, Slippers, Earrings",82,Casual
Blue,"(0, 0, 255)",Purple,"(128, 0, 128)",Bracelet,98,Party
Brown,"(139, 69, 19)",Green,"(0, 128, 0)","Necklace, Slippers",77,Casual
Brown,"(139, 69, 19)",Red,"(255, 0, 0)",Bracelet,80,Party
White,"(255, 255, 255)",Beige,"(245, 245, 220)",Necklace,69,Office
Navy,"(0, 0, 128)",Red,"(255, 0, 0)","Slippers, Bracelet, Bangles",89,Casual
White,"(255, 255, 255)",White,"(255, 255, 255)","Bangles, Earrings, Bracelet",81,Office
Beige,"(245, 245, 220)",Grey,"(128, 128, 128)","Necklace, Slippers",67,Office
Pink,"(255, 192, 203)",Pink,"(255, 192, 203)",Slippers,63,Party
White,"(255, 255, 255)",Orange,"(255, 165, 0)",Earrings,62,Office
Beige,"(245, 245, 220)",Yellow,"(255, 255, 0)","Slippers, Bracelet, Earrings",51,Casual
Navy,"(0, 0, 128)",White,"(255, 255, 255)",Slippers,78,Party
White,"(255, 255, 255)",Blue,"(0, 0, 255)","Bracelet, Slippers",52,Office
Brown,"(139, 69, 19)",White,"(255, 255, 255)",Earrings,59,Office
Grey,"(128, 128, 128)",Red,"(255, 0, 0)",Slippers,98,Casual
Brown,"(139, 69, 19)",Grey,"(128, 128, 128)",Earrings,69,Party
Navy,"(0, 0, 128)",Pink,"(255, 192, 203)","Earrings, Bangles",76,Party
Blue,"(0, 0, 255)",Yellow,"(255, 255, 0)","Necklace, Bracelet",81,Office
Brown,"(139, 69, 19)",Beige,"(245, 245, 220)","Bangles, Slippers, Necklace",88,Office
Grey,"(128, 128, 128)",Yellow,"(255, 255, 0)","Bracelet, Earrings, Slippers",74,Office
Brown,"(139, 69, 19)",Red,"(255, 0, 0)","Slippers, Bracelet, Bangles",70,Party
Pink,"(255, 192, 203)",White,"(255, 255, 255)",Slippers,90,Party
White,"(255, 255, 255)",White,"(255, 255, 255)","Necklace, Bangles",92,Party
Navy,"(0, 0, 128)",Beige,"(245, 245, 220)","Necklace, Bangles",55,Office
Black,"(0, 0, 0)",Green,"(0, 128, 0)",Earrings,79,Office
Black,"(0, 0, 0)",Orange,"(255, 165, 0)",Earrings,89,Casual
Blue,"(0, 0, 255)",Grey,"(128, 128, 128)","Bracelet, Slippers",95,Casual
Pink,"(255, 192, 203)",Purple,"(128, 0, 128)","Necklace, Bracelet, Bangles",81,Office
Beige,"(245, 245, 220)",White,"(255, 255, 255)","Slippers, Bangles, Necklace",59,Party
Brown,"(139, 69, 19)",Green,"(0, 128, 0)",Necklace,80,Office
Navy,"(0, 0, 128)",Purple,"(128, 0, 128)","Earrings, Slippers, Bracelet",96,Party
Pink,"(255, 192, 203)",White,"(255, 255, 255)",Earrings,89,Casual
Grey,"(128, 128, 128)",Green,"(0, 128, 0)","Bracelet, Necklace",72,Office
Navy,"(0, 0, 128)",Grey,"(128, 128, 128)",Earrings,55,Party
White,"(255, 255, 255)",Beige,"(245, 245, 220)","Bracelet, Slippers, Bangles",98,Party
